#index 0 Simulation results

1000        0.970462696208067	0.0121033331222978
10000        2.00502782877869	0.0399557249704524
100000        3.87726106315788	0.00164708497719636
1000000        7.22301088183637	0.00214422389394742
10000000        13.7379060713225	0.167747908443768


# index 1 Experiment results

1010588225.71    40              7


# index 2 combined for fit

1000        0.970462696208067	0.0121033331222978
10000        2.00502782877869	0.0399557249704524
100000        3.87726106315788	0.00164708497719636
1000000        7.22301088183637	0.00214422389394742
10000000        13.7379060713225	0.167747908443768
1010588225.71    40              7
